"Date","United Kingdom"
"01-06-2021",27238400
"01-09-2021",27379400
"01-12-2021",27514700
"01-03-2022",27566900
"01-06-2022",27643500
"01-09-2022",27653000
"01-12-2022",27676600
"01-03-2023",27763600
